id,board,black_score,best_move
409,r1qr2k1/pp2ppbp/2n2np1/P1p5/2N5/1PB2NP1/1Q1PPPKP/2R2R2 b - - 3 20,33.0,c8e6
410,r2r2k1/pp2ppbp/2n2np1/P1p2q2/2N5/1PBP1NP1/1Q2PPKP/2R2R2 b - - 0 21,14.0,g7h6
411,2rr2k1/pp2ppbp/2n2np1/P1p2q2/2N5/QPBP1NP1/4PPKP/2R2R2 b - - 2 22,20.0,f5e6
412,2rr2k1/pp2ppbp/5np1/P1p2q2/2NB4/QP1P1NP1/4PPKP/2R2R2 b - - 0 23,-33.0,c5d4
413,2rr2k1/pp2Qpbp/5np1/P4q2/2Np4/1P1P1NP1/4PPKP/2R2R2 b - - 0 24,-15.0,f6d5
414,2r3k1/pp1rQpbp/3N1np1/P4q2/3p4/1P1P1NP1/4PPKP/2R2R2 b - - 2 25,-442.0,c8c1
415,2r3k1/pp1rQpbp/3N1np1/P7/3p4/1P1P1KP1/4PP1P/2R2R2 b - - 0 26,-491.0,d7e7
416,6k1/pp1Q1pbp/3N1np1/P7/3p4/1P1P1KP1/4PP1P/2r2R2 b - - 0 27,-541.0,f6d7
417,6k1/pp3Qbp/3N1np1/P7/3p4/1P1P1KP1/4PP1P/5r2 b - - 0 28,-869.0,g8h8
418,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-21.0,g8f6
419,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,-16.0,e7e6
420,rnbqkbnr/pp2pppp/2p5/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,-35.0,c8f5
421,rn1qkbnr/pp2pppp/2p5/3p1b2/2PP1B2/4P3/PP3PPP/RN1QKBNR b KQkq - 0 4,-30.0,e7e6
422,rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP1B2/1Q2P3/PP3PPP/RN2KBNR b KQkq - 2 5,-41.0,b8d7
423,rn2kb1r/pp2pppp/1qp2n2/3p1b2/2PP1B2/1Q2P3/PP1N1PPP/R3KBNR b KQkq - 4 6,-25.0,d5c4
424,rn2kb1r/pp3ppp/1qp1pn2/3p1b2/2PP1B2/1Q2P2P/PP1N1PP1/R3KBNR b KQkq - 0 7,7.0,b6b3
425,rn2k2r/pp3ppp/1qp1pn2/3p1b2/1bPP1B2/1Q2PN1P/PP1N1PP1/R3KB1R b KQkq - 2 8,-37.0,f6e4
426,rn2k2r/pp3ppp/1qp1p3/3p1b2/1bPPnB2/PQ2PN1P/1P1N1PP1/R3KB1R b KQkq - 0 9,65.0,e4d2
427,rn2k2r/pp3ppp/1qp1p3/3p1b2/1QPP1B2/P3PN1P/1P1n1PP1/R3KB1R b KQkq - 0 10,65.0,d2b3
428,rn2k2r/pp3ppp/1qp1p3/3p1b2/1QBP1B2/P3PN1P/1P3PP1/R3K2R b KQkq - 0 11,-36.0,d5c4
429,rn2k2r/pp3ppp/2p1p3/3p1b2/1PBP1B2/4PN1P/1P3PP1/R3K2R b KQkq - 0 12,-69.0,d5c4
430,rn2k2r/pp3ppp/2p1p3/4Nb2/1PpP1B2/4P2P/1P3PP1/R3K2R b KQkq - 1 13,-55.0,e8g8
431,rn2k2r/p4ppp/2p1p3/1p2Nb2/1PpP1B2/4PP1P/1P4P1/R3K2R b KQkq - 0 14,38.0,h7h5
432,rn2k2r/p5pp/2p1pp2/1p3b2/1PpP1BN1/4PP1P/1P4P1/R3K2R b KQkq - 1 15,20.0,b8d7
433,rn2k2r/p5pp/2p1pp2/1p6/1PpP1BP1/4PP2/1P4P1/R3K2R b KQkq - 0 16,0.0,e8g8
434,r3k2r/p2n2pp/R1p1pp2/1p6/1PpP1BP1/4PP2/1P4P1/4K2R b Kkq - 2 17,-23.0,e6e5
435,r3k2r/p5pp/Rnp1pp2/1p6/1PpPPBP1/5P2/1P4P1/4K2R b Kkq - 0 18,38.0,e8d7
436,r6r/p2k2pp/Rnp1pp2/1p6/1PpPPBP1/5P2/1P1K2P1/7R b - - 2 19,53.0,d7c8
437,r6r/p2k2pp/R1p1pp2/1p6/nPpPPBP1/5P2/1PK3P1/7R b - - 4 20,-29.0,h7h6
438,r6r/p2k2p1/R1p1pp1p/1p6/nPpPP1P1/4BP2/1PK3P1/7R b - - 1 21,122.0,d7c7
439,r6r/p1k3p1/R1p1pp1p/1p6/nPpPP1P1/1P2BP2/2K3P1/7R b - - 0 22,224.0,c4b3
440,r6r/p1k3p1/R1p1pp1p/1p6/nP1PP1P1/1K2BP2/6P1/7R b - - 0 23,228.0,c7b7
441,r6r/pk4p1/2p1pp1p/Rp6/nP1PP1P1/1K2BP2/6P1/7R b - - 2 24,236.0,h8d8
442,r2r4/pk4p1/2p1pp1p/Rp6/nP1PP1P1/1K2BP2/6P1/2R5 b - - 4 25,232.0,a7a6
443,r2r4/1k4p1/p1p1pp1p/Rp6/nP1PP1P1/1K2BP2/2R3P1/8 b - - 1 26,372.0,e6e5
444,r2r4/1k4p1/p1p2p1p/Rp2p3/nP1PP1P1/1K2BP2/3R2P1/8 b - - 1 27,393.0,e5d4
445,r2r4/1k4p1/p1p2p1p/Rp6/nP1BP1P1/1K3P2/3R2P1/8 b - - 0 28,412.0,c6c5
446,r7/1k1r2p1/p1p2p1p/Rp6/nP1BP1P1/5P2/2KR2P1/8 b - - 2 29,350.0,a8d8
447,3r4/1k1r2p1/p1p2p1p/Rp6/nP2P1P1/4BP2/2KR2P1/8 b - - 4 30,373.0,d7d2
448,3r4/1k4p1/p1p2p1p/Rp6/nP2P1P1/5P2/2KB2P1/8 b - - 0 31,368.0,d8c8
449,8/1k4p1/p1p2p1p/Rp6/nP1rP1P1/5P2/2K3P1/4B3 b - - 2 32,394.0,d4c4
450,8/1k4p1/p1p2p1p/Rp6/nPr1P1P1/5P2/6P1/1K2B3 b - - 4 33,413.0,c6c5
451,8/1k4p1/p4p1p/RpP5/n1r1P1P1/5P2/6P1/1K2B3 b - - 0 34,422.0,c4c5
452,8/1k4p1/p4p1p/Rpr5/nB2P1P1/5P2/6P1/1K6 b - - 1 35,472.0,c5c8
453,8/1kr3p1/p4p1p/Rp6/n3P1P1/5P2/3B2P1/1K6 b - - 3 36,489.0,b7b6
454,8/2r3p1/pk3p1p/Rp6/nB2P1P1/5P2/6P1/1K6 b - - 5 37,481.0,c7c4
455,8/3r2p1/pk3p1p/Rp6/nB2P1P1/5P2/2K3P1/8 b - - 7 38,426.0,d7c7
456,8/6p1/pk3p1p/Rp6/n2rP1P1/5P2/2K3P1/4B3 b - - 9 39,495.0,d4c4
457,8/6p1/pk3p1p/Rp6/n1r1P1P1/1K3P2/6P1/4B3 b - - 11 40,667.0,a4c5
458,8/6p1/pk3p1p/Rp6/n3P1P1/1K3P2/3B2P1/2r5 b - - 13 41,499.0,a4c5
459,8/6p1/pk3p1p/Rp6/n3P1P1/K4P2/3B2P1/1r6 b - - 15 42,592.0,a4c5
460,8/6p1/pk3p1p/Rp6/n3P1P1/K3BP2/6P1/6r1 b - - 17 43,372.0,b6a5
461,8/6p1/p4p1p/kp6/n3P1P1/K4P2/6P1/6B1 b - - 0 44,358.0,b5b4
462,8/6p1/pn3p1p/kpB5/4P1P1/K4P2/6P1/8 b - - 2 45,281.0,b6d7
463,8/3nB1p1/p4p1p/kp6/4P1P1/K4P2/6P1/8 b - - 4 46,300.0,a5b6
464,8/3nB1p1/pk3p1p/1p6/4PPP1/K7/6P1/8 b - - 0 47,351.0,a6a5
465,8/3nB1p1/1k3p1p/pp4P1/4PP2/K7/6P1/8 b - - 0 48,399.0,h6g5
466,8/3nB1p1/1k3p2/pp4P1/4P3/K7/6P1/8 b - - 0 49,436.0,f6g5
467,8/3n2p1/1k6/pp4B1/4P3/K7/6P1/8 b - - 0 50,458.0,b5b4
468,8/3n2p1/1k6/p5B1/1p2P3/8/1K4P1/8 b - - 1 51,486.0,b6b5
469,8/3nB1p1/8/pk6/1p2P3/8/1K4P1/8 b - - 3 52,519.0,b5c4
470,8/3nB1p1/8/1k6/pp2P1P1/8/1K6/8 b - - 0 53,600.0,b5c4
471,5B2/6p1/8/1kn5/pp2P1P1/8/1K6/8 b - - 2 54,712.0,g7g6
472,5B2/8/6p1/1kn1P3/pp4P1/8/1K6/8 b - - 0 55,823.0,c5e6
473,5B2/8/6p1/1k2P3/pp4P1/3n4/2K5/8 b - - 2 56,631.0,d3e5
474,5B2/8/6p1/1k2n1P1/pp6/8/2K5/8 b - - 0 57,912.0,b5c4
475,8/4B3/6p1/1k4P1/ppn5/8/2K5/8 b - - 2 58,871.0,c4a5
476,8/4B3/6p1/1k4P1/p1n5/1p1K4/8/8 b - - 1 59,,a4a3
477,8/4B3/6p1/1k4P1/p1n5/8/1pK5/8 b - - 1 60,677.0,a4a3
478,8/8/5Bp1/1k4P1/2n5/p7/1pK5/8 b - - 1 61,,c4d2
479,8/8/6p1/1k4P1/2n5/8/pBK5/8 b - - 0 62,6645.0,c4b2
480,8/8/6p1/1k4P1/8/8/pK6/8 b - - 0 63,6628.0,b5c4
481,8/8/6p1/6P1/2k5/8/K7/8 b - - 0 64,4821.0,c4d3
482,8/8/6p1/6P1/3k4/8/1K6/8 b - - 2 65,,d4e3
483,8/8/6p1/6P1/4k3/8/2K5/8 b - - 4 66,,e4f5
484,8/8/6p1/6P1/5k2/3K4/8/8 b - - 6 67,,f4g5
485,8/8/6p1/6k1/8/4K3/8/8 b - - 1 68,,g5g4
486,8/8/6p1/8/6k1/8/5K2/8 b - - 3 69,,g4h3
487,8/8/6p1/8/5k2/8/6K1/8 b - - 5 70,,f4g4
488,8/8/6p1/8/6k1/8/5K2/8 b - - 7 71,,g4h3
489,8/8/6p1/8/8/5K1k/8/8 b - - 9 72,,g6g5
490,8/8/8/6p1/8/7k/5K2/8 b - - 1 73,,g5g4
491,8/8/8/8/6p1/7k/8/6K1 b - - 1 74,,h3g3
492,8/8/8/8/6p1/6k1/8/7K b - - 3 75,,g3f2
493,8/8/8/8/6p1/8/5k1K/8 b - - 5 76,,g4g3
494,8/8/8/8/8/6p1/5k2/7K b - - 1 77,,g3g2
495,8/8/8/8/8/8/5kpK/8 b - - 1 78,,g2g1q
496,8/8/8/8/8/7K/5k2/6q1 b - - 1 79,,g1g3
497,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-16.0,g8f6
498,rnbqkb1r/pppppppp/5n2/6B1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 2 2,14.0,d7d5
499,rnbqkb1r/pp1ppppp/5B2/2p5/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 0 3,-7.0,e7f6
500,rnbqkb1r/pp1ppp1p/5p2/2pP4/8/8/PPP1PPPP/RN1QKBNR b KQkq - 0 4,-10.0,d8b6
501,rnb1kb1r/pp1ppp1p/1q3p2/2pP4/8/8/PPP1PPPP/RNQ1KBNR b KQkq - 2 5,-1.0,f6f5
502,rnb1kb1r/pp1ppp2/1q3p2/2pP3p/2P5/8/PP2PPPP/RNQ1KBNR b KQkq - 0 6,-6.0,f6f5
503,rnb1kb1r/pp1ppp2/1q3p2/2pP4/2P4p/2N5/PP2PPPP/R1Q1KBNR b KQkq - 1 7,-13.0,f6f5
504,rnb1kb1r/pp2pp2/1q1p1p2/2pP4/2P4p/2N2N2/PP2PPPP/R1Q1KB1R b KQkq - 1 8,-29.0,f6f5
505,rnb1k2r/pp2pp2/1q1p1p1b/2pP4/2P4p/2N2N2/PPQ1PPPP/R3KB1R b KQkq - 3 9,-96.0,h6g7
506,r1b1k2r/pp2pp2/nq1p1p1b/2pP4/2P4N/2N5/PPQ1PPPP/R3KB1R b KQkq - 0 10,-151.0,f6f5
507,r1b1k2r/pp2pp2/1q1p1p1b/2pP4/1nP4N/1QN5/PP2PPPP/R3KB1R b KQkq - 2 11,-81.0,f6f5
508,r1b1k2r/1p2pp2/1q1p1p1b/p1pP4/1nP5/1QN2N2/PP2PPPP/R3KB1R b KQkq - 1 12,193.0,a5a4
509,r3k2r/1p1bpp2/1q1p1p1b/p1pP4/1nP5/1QN1PN2/PP3PPP/R3KB1R b KQkq - 0 13,116.0,a5a4
510,r3k2r/1p1bpp2/1q1p1p1b/2pP4/pnP5/2N1PN2/PP3PPP/R2QKB1R b KQkq - 1 14,127.0,a4a3
511,r3k2r/1p2pp2/1q1p1p1b/2pP1b2/pnP5/2N1PN2/PP3PPP/2RQKB1R b Kkq - 3 15,0.0,a4a3
512,r3k1r1/1p2pp2/1q1p1p1b/2pP1b2/pnP5/P1N1PN2/1P3PPP/2RQKB1R b Kq - 0 16,-289.0,b4a6
513,r3k1r1/1p2pp2/nq1p1p1b/2pP1b2/Q1P5/P1N1PN2/1P3PPP/2R1KB1R b Kq - 0 17,-233.0,e8d8
514,r4kr1/1p2pp2/nq1p1p1b/1NpP1b2/Q1P5/P3PN2/1P3PPP/2R1KB1R b K - 2 18,-185.0,a6c7
515,r4kr1/1pn1pp2/1q1p1p1b/1NpP1b2/2P5/PQ2PN2/1P3PPP/2R1KB1R b K - 4 19,-202.0,e7e5
516,r4kr1/1pnbpp2/1q1p1p1b/1NpP4/P1P5/1Q2PN2/1P3PPP/2R1KB1R b K - 0 20,-148.0,b6a5
517,r4kr1/1p1bpp2/1q1p1p1b/1PpP4/2P5/1Q2PN2/1P3PPP/2R1KB1R b K - 0 21,-180.0,b6a5
518,r4kr1/1p1b1p2/1q1p1p1b/1PpPp3/2P5/1Q2PNP1/1P3P1P/2R1KB1R b K - 0 22,-116.0,b6a5
519,r4kr1/1p1b1p2/3p1p1b/qPpPp3/2P5/2Q1PNP1/1P3P1P/2R1KB1R b K - 2 23,-82.0,a5c3
520,r4kr1/1p1b1p2/3p1p1b/1PpPp3/2P5/2Q1PNP1/qP2BP1P/2R1K2R b K - 4 24,-144.0,e5e4
521,r4kr1/1p3p2/3p1p1b/1PpPp3/2P5/2Q1PNPb/qP1KBP1P/2R4R b - - 6 25,-109.0,f6f5
522,r4kr1/5p2/1p1p1p1b/1PpPp3/2P4N/2Q1P1Pb/qP1KBP1P/2R4R b - - 1 26,-191.0,h6g5
523,r4kr1/5p2/1p1p3b/1PpPpp2/2P4N/2QBP1Pb/qP1K1P1P/2R4R b - - 1 27,-149.0,e5e4
524,r4kr1/5p2/1p1p1Q1b/1PpP1p2/2P1p2N/3BP1Pb/qP1K1P1P/2R4R b - - 1 28,0.0,h6g5
525,r4kr1/5p2/1p1Q4/1PpP1pb1/2P1p2N/3BP1Pb/qP1K1P1P/2R4R b - - 0 29,0.0,f8g7
526,r4kr1/4bp2/1p5Q/1PpP1p2/2P1p2N/3BP1Pb/qP1K1P1P/2R4R b - - 2 30,0.0,f8e8
527,r3k1r1/4bp2/1pQ5/1PpP1p2/2P1p2N/3BP1Pb/qP1K1P1P/2R4R b - - 4 31,0.0,e8f8
528,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-16.0,g8f6
529,rnbqkb1r/pppppppp/5n2/6B1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 2 2,6.0,d7d5
530,rnbqkb1r/pppp1ppp/4pn2/6B1/3PP3/8/PPP2PPP/RN1QKBNR b KQkq - 0 3,-10.0,h7h6
531,rnbqkb1r/pp1p1ppp/4pn2/2pP2B1/4P3/8/PPP2PPP/RN1QKBNR b KQkq - 0 4,-32.0,d7d6
532,rnbqkb1r/pp1p1pp1/4pB1p/2pP4/4P3/8/PPP2PPP/RN1QKBNR b KQkq - 0 5,-76.0,d8f6
533,rnb1kb1r/pp1p1pp1/4pq1p/2pP4/4P3/2N5/PPP2PPP/R2QKBNR b KQkq - 1 6,-87.0,d7d6
534,rnb1kb1r/pp1p1pp1/5q1p/2pPp3/4P3/2N2N2/PPP2PPP/R2QKB1R b KQkq - 1 7,-113.0,d7d6
535,rnb1kb1r/pp3pp1/3p1q1p/1BpPp3/4P3/2N2N2/PPP2PPP/R2QK2R b KQkq - 1 8,-34.0,b8d7
536,r1b1kb1r/pp1n1pp1/3p1q1p/1BpPp3/4P3/2N2N2/PPP2PPP/R2Q1RK1 b kq - 3 9,0.0,a7a6
537,r1b1kb1r/1p1B1pp1/p2p1q1p/2pPp3/4P3/2N2N2/PPP2PPP/R2Q1RK1 b kq - 0 10,5.0,c8d7
538,r3kb1r/1p1b1pp1/p2p1q1p/2pPp3/P3P3/2N2N2/1PP2PPP/R2Q1RK1 b kq - 0 11,10.0,b7b6
539,r3kb1r/1p1b1p2/p2p1q1p/2pPp1p1/P3P3/2N5/1PPN1PPP/R2Q1RK1 b kq - 1 12,-134.0,f8e7
540,r3kb1r/1p1b1p2/p2p1q2/2pPp1pp/P1N1P3/2N5/1PP2PPP/R2Q1RK1 b kq - 1 13,-166.0,f8e7
541,r2qkb1r/1p1b1p2/p2p4/P1pPp1pp/2N1P3/2N5/1PP2PPP/R2Q1RK1 b kq - 0 14,-192.0,f7f5
542,r2qk2r/1p1b1p2/p2p3b/P1pPp1pQ/2N1P3/2N5/1PP2PPP/R4RK1 b kq - 0 15,-219.0,e8e7
543,r2qk2r/1p1b1pb1/p2p4/P1pPp1p1/2N1P3/2N5/1PP1QPPP/R4RK1 b kq - 2 16,-291.0,d8f6
544,r3k2r/1p1b1pb1/p2p1q2/P1pPp1p1/2N1P3/2N2P2/1PP1Q1PP/R4RK1 b kq - 0 17,-314.0,e8c8
545,r3k2r/1p1b1pb1/p2p3q/P1pPp1p1/2N1P1P1/2N2P2/1PP1Q2P/R4RK1 b kq - 0 18,-290.0,e8c8
546,r3kb1r/1p1b1p2/p2p3q/P1pPp1p1/2N1P1P1/2N2P2/1PP1Q2P/1R3RK1 b kq - 2 19,-251.0,f8e7
547,r3k2r/1p1bbp2/p2p3q/P1pPp1p1/1PN1P1P1/2N2P2/2P1Q2P/1R3RK1 b kq - 0 20,-263.0,c5b4
548,r3k2r/1p1bbp2/p2p3q/P2Pp1p1/1RN1P1P1/2N2P2/2P1Q2P/5RK1 b kq - 0 21,-250.0,a8c8
549,1r2k2r/1p1bbp2/p2p3q/P2Pp1p1/1RN1P1P1/2N2P2/2P1Q2P/1R4K1 b k - 2 22,-265.0,h6f6
550,1rb1k2r/1p2bp2/pN1p3q/P2Pp1p1/1R2P1P1/2N2P2/2P1Q2P/1R4K1 b k - 4 23,-305.0,e7d8
551,1rbbk2r/1p3p2/pN1p3q/P2Pp1p1/2R1P1P1/2N2P2/2P1Q2P/1R4K1 b k - 6 24,-205.0,c8d7
552,1rb1k2r/1p3p2/pR1p3q/P2Pp1p1/2R1P1P1/2N2P2/2P1Q2P/6K1 b k - 0 25,-245.0,h6f6
553,1rb1k2r/1p3p2/pR1p1q2/P2Pp1p1/2R1P1P1/5P2/2P1Q2P/3N2K1 b k - 2 26,-186.0,c8d7
554,1rb1k2r/1p3p2/p2R4/P2Pp1p1/2R1PqP1/5P2/2P1Q2P/3N2K1 b k - 0 27,-238.0,c8d7
555,1rb1k3/1p3p2/p2R4/P2Pp1p1/4PqP1/2R2P1r/2P1Q2P/3N2K1 b - - 2 28,-175.0,c8d7
556,1r2k3/1p1b1p2/p2R4/P2Pp1p1/4PqP1/2R2P1r/2P3QP/3N2K1 b - - 4 29,-182.0,f4c1
557,1r2k3/1p1b1p2/p2R4/P2Pp1p1/4PqPr/2R2PQ1/2P4P/3N2K1 b - - 6 30,-402.0,f4d2
558,1r2k3/1p1b1p2/p2R4/P2Pp1p1/4P1Pr/3R1PQ1/2Pq3P/3N2K1 b - - 8 31,-437.0,d2f4
559,1r2k3/1p1b1p2/p2R4/P2PQ1p1/4P1Pr/3R1P2/2q4P/3N2K1 b - - 0 32,-604.0,e8f8
560,1r3k2/1p1b1p2/p2R4/P2PQ1p1/4P1Pr/3R1P2/2q2N1P/6K1 b - - 2 33,-451.0,d7b5
561,1r3k2/1p3p2/p2R4/Pb1P2Q1/4P1Pr/3R1P2/2q2N1P/6K1 b - - 0 34,-419.0,h4h3
562,1r3k2/1p3p2/p2R4/Pb1P2Q1/4P1P1/5P2/2qR1N1r/6K1 b - - 1 35,-516.0,c2c7
563,1r3k2/1pq2p2/p2R4/Pb1PP1Q1/6P1/5P2/3R1N1r/6K1 b - - 0 36,-547.0,h2h8
564,1r3k2/1pq2p1r/p6R/Pb1PP1Q1/6P1/5P2/3R1N2/6K1 b - - 2 37,-730.0,b8e8
565,1r3k2/1pq2p2/p6Q/Pb1PP3/6P1/5P2/3R1N2/6K1 b - - 0 38,-830.0,f8e8
566,1r4k1/1pq2p2/p7/Pb1PP1Q1/6P1/5P2/3R1N2/6K1 b - - 2 39,-833.0,g8f8
567,1r3k2/1pq2p2/p7/Pb1PP1Q1/6P1/5P2/3R1NK1/8 b - - 4 40,-625.0,f7f5
568,1r3k2/1p3p2/p2P4/Pb2P1Q1/6P1/5P2/3R1NK1/2q5 b - - 0 41,-817.0,b8e8
569,1r3k2/1p3p2/p2P4/Pb2P1Q1/6P1/5PK1/3R1N2/5q2 b - - 2 42,-511.0,f1g1
570,1r3k2/1p3p2/p2P4/Pb2P1Q1/5KP1/5P2/3R1N2/6q1 b - - 4 43,-481.0,g1h2
571,1r3k2/1p3p2/p2P4/Pb2P1Q1/6P1/4KP2/3R1N1q/8 b - - 6 44,-503.0,b8e8
572,1r3k2/1p3p1q/p2P4/Pb2PQ2/6P1/4KP2/3R1N2/8 b - - 8 45,-535.0,h7h6
573,1r3k2/1p3p2/p2P3q/Pb2P3/5QP1/4KP2/3R1N2/8 b - - 10 46,-539.0,h6f4
574,1r3k2/1p3p2/p2Pq3/Pb2P3/4NQP1/4KP2/3R4/8 b - - 12 47,-589.0,b8e8
575,1r3k2/1p3p2/p1bPqQ2/P3P3/4N1P1/4KP2/3R4/8 b - - 14 48,-730.0,e6f6
576,1r3k2/1p3p2/p1bP1Q2/P3P3/4N1P1/1q1RKP2/8/8 b - - 16 49,,b3d3
577,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-24.0,g8f6
578,rnbqkb1r/pppppppp/5n2/6B1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 2 2,-7.0,d7d5
579,rnbqkb1r/pppp1ppp/4pn2/6B1/3PP3/8/PPP2PPP/RN1QKBNR b KQkq - 0 3,-19.0,h7h6
580,rnbqkb1r/pp1p1ppp/4pB2/2p5/3PP3/8/PPP2PPP/RN1QKBNR b KQkq - 0 4,29.0,d8f6
581,rnb1kb1r/pp1p1ppp/4pq2/2p5/3PP3/2P5/PP3PPP/RN1QKBNR b KQkq - 0 5,40.0,f6g6
582,rnb1kb1r/pp3ppp/3ppq2/2p5/3PP3/2P2N2/PP3PPP/RN1QKB1R b KQkq - 1 6,-11.0,b8d7
583,rnb1kb1r/pp3ppp/3p1q2/1Bp1p3/3PP3/2P2N2/PP3PPP/RN1QK2R b KQkq - 1 7,-74.0,c8d7
584,rn2kb1r/pp1b1ppp/3p1q2/1Bp1P3/4P3/2P2N2/PP3PPP/RN1QK2R b KQkq - 0 8,-82.0,d6e5
585,rn2kb1r/pp1B1ppp/5q2/2p1p3/4P3/2P2N2/PP3PPP/RN1QK2R b KQkq - 0 9,-79.0,b8d7
586,r3kb1r/pp1n1ppp/5q2/2p1p3/4P3/2P2N2/PP3PPP/RN1Q1RK1 b kq - 1 10,-92.0,f6e6
587,r3kb1r/pp1n1ppp/2q5/2p1p3/4P3/2P2N2/PP1N1PPP/R2Q1RK1 b kq - 3 11,-88.0,g7g6
588,r3k2r/pp1nbppp/2q5/2p1p3/2N1P3/2P2N2/PP3PPP/R2Q1RK1 b kq - 5 12,-103.0,f7f6
589,r3k2r/pp1nb1pp/2q2p2/2p1p3/2N1P3/2P2N2/PP2QPPP/R4RK1 b kq - 1 13,-59.0,b7b5
590,r4rk1/pp1nb1pp/2q2p2/2p1p3/P1N1P3/2P2N2/1P2QPPP/R4RK1 b - - 0 14,-107.0,d7b6
591,r2r2k1/pp1nb1pp/2q2p2/2p1p3/P1N1P3/2P2N2/1P2QPPP/R2R2K1 b - - 2 15,-94.0,d7b6
592,r2r1nk1/pp2b1pp/2q2p2/2p1p3/P3P3/2P1NN2/1P2QPPP/R2R2K1 b - - 4 16,20.0,c6e4
593,r2r1nk1/pp2b1pp/5p2/1Qp1p3/P3q3/2P1NN2/1P3PPP/R2R2K1 b - - 1 17,49.0,d8d1
594,r2r1nk1/pp2b2p/5pp1/1Qp1p3/P1P1q3/4NN2/1P3PPP/R2R2K1 b - - 0 18,122.0,e4c6
595,r2r1nk1/1p2b2p/p4pp1/2p1p3/P1P1q3/1Q2NN2/1P3PPP/R2R2K1 b - - 1 19,120.0,d8d1
596,r4nk1/1p2b2p/p4pp1/2p1p3/P1P1q3/1Q2NN2/1P3PPP/3R2K1 b - - 0 20,110.0,e4c6
597,r4nk1/1p2b2p/p1q2pp1/2pNp3/P1P5/1Q3N2/1P3PPP/3R2K1 b - - 2 21,113.0,a8e8
598,r2b1nk1/1p5p/p1q2pp1/2pNp3/P1P4P/1Q3N2/1P3PP1/3R2K1 b - - 0 22,35.0,f8e6
599,r2b2k1/1p5p/p1q1npp1/2pNp2P/P1P5/1Q3N2/1P3PP1/3R2K1 b - - 0 23,21.0,g8g7
600,r2b4/1p4kp/p1q1npp1/2pNp2P/P1P5/4QN2/1P3PP1/3R2K1 b - - 2 24,1.0,a8c8
601,r2b4/6kp/p1q1npp1/1ppNp2P/P1P5/1P2QN2/5PP1/3R2K1 b - - 0 25,-3.0,b5c4
602,r2b4/6kp/p1q1npp1/2pNp2P/P1P5/4QN2/5PP1/3R2K1 b - - 0 26,-27.0,a8a7
603,r2b4/6kp/p3npp1/2pNp2P/q1P5/4QN2/5PP1/1R4K1 b - - 1 27,-50.0,a4d7
604,r2b4/6kp/p1q1npp1/2pNp2P/2P5/4Q3/3N1PP1/1R4K1 b - - 3 28,26.0,a8a7
605,r2b4/6kp/p1q2pp1/2pNp2P/2PnN3/4Q3/5PP1/1R4K1 b - - 5 29,-79.0,d4f5
606,r2b4/6kp/p1q3p1/2NNpp1P/2Pn4/4Q3/5PP1/1R4K1 b - - 0 30,-460.0,a8a7
607,r7/1R4kp/p1q2bp1/2NNpp1P/2Pn4/4Q3/5PP1/6K1 b - - 2 31,-603.0,c6b7
608,r5k1/1R5p/p1q2bpQ/2NNpp1P/2Pn4/8/5PP1/6K1 b - - 4 32,-754.0,c6b7
609,r5k1/1q5p/p4NpQ/2N1pp1P/2Pn4/8/5PP1/6K1 b - - 0 33,-764.0,g8f7
610,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-25.0,d7d5
611,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,-21.0,c7c5
612,rnbqkbnr/pp2pppp/2p5/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,-36.0,c8f5
613,rnbqkb1r/pp2pppp/2p2n2/3p4/2PP1B2/4P3/PP3PPP/RN1QKBNR b KQkq - 0 4,-40.0,c8f5
614,rnb1kb1r/pp2pppp/1qp2n2/3p4/2PP1B2/1Q2P3/PP3PPP/RN2KBNR b KQkq - 2 5,-33.0,e7e6
615,rnb1kb1r/pp2pp1p/1qp2np1/3p4/2PP1B2/1QN1P3/PP3PPP/R3KBNR b KQkq - 1 6,-55.0,f8g7
616,rnb1k2r/pp2ppbp/1qp2np1/3p4/2PP1B2/1QN1P2P/PP3PP1/R3KBNR b KQkq - 0 7,-47.0,e8g8
617,rnb2rk1/pp2ppbp/1qp2np1/3p4/2PP1B2/1QN1PN1P/PP3PP1/R3KB1R b KQ - 2 8,-45.0,b8d7
